workload,variant,run,deadline_success_rate,average_response_time,system_utilization,total_energy_consumed
moderate,No_Deadline,24,0.96,0.6864765819692369,0.5107947511790601,65.52882901562239
moderate,No_Deadline,25,0.98,0.5948160562724422,0.4730645371496182,58.45884090195345
moderate,No_Deadline,26,0.96,0.747317755309077,0.5968497296233387,68.51302908074759
moderate,No_Deadline,27,0.99,0.6662379992577864,0.5123140531680791,66.03108270649156
moderate,No_Deadline,28,0.97,0.5941822078188689,0.436240412089947,58.4383930765879
moderate,No_Deadline,29,0.94,0.6615278537915539,0.4746643337758558,62.89576079141736
moderate,No_Deadline,30,0.97,0.6585287186308066,0.5011235627573434,63.038462405755254
moderate,No_Execution,1,0.84,1.2834260307450722,0.5055173163676469,66.23947158417575
moderate,No_Execution,2,0.88,1.0699441536746908,0.43934646695373925,68.49406963150155
moderate,No_Execution,3,0.85,1.12172456885822,0.4546458707137821,65.69655679117831
moderate,No_Execution,4,0.8,1.2752851391379993,0.4658273672123576,67.79982130103167
moderate,No_Execution,5,0.9,1.0885967325707022,0.46127390946737784,59.37283840003387
moderate,No_Execution,6,0.86,1.149576170302315,0.4648519449479924,64.01453549341048
moderate,No_Execution,7,0.82,1.3161883378331771,0.4491148275822126,67.76674570948349
moderate,No_Execution,8,0.83,1.2384090151101288,0.5190573627834781,68.07608837709417
moderate,No_Execution,9,0.89,1.1710490126658093,0.434792075115465,60.55899370193404
moderate,No_Execution,10,0.85,1.1099445393464336,0.4351211980811773,60.26804227980247
moderate,No_Execution,11,0.89,1.1248922821631062,0.4790540948436345,62.70530223911595
moderate,No_Execution,12,0.85,1.033886549094874,0.36943416912996696,61.041979016187454
moderate,No_Execution,13,0.85,1.1902660510843537,0.4638923025469369,65.11300003145513
moderate,No_Execution,14,0.78,1.231738171155493,0.4439936889338343,61.30254815188748
moderate,No_Execution,15,0.87,1.0933256782924872,0.444637193164305,68.8761522813349
moderate,No_Execution,16,0.86,1.125291769411954,0.4212539469306472,63.88979063995474
moderate,No_Execution,17,0.84,1.2303333229340974,0.37982755715834243,64.78517288936071
moderate,No_Execution,18,0.85,1.2729453132675463,0.49969813197550705,63.232220862715366
moderate,No_Execution,19,0.88,1.1969578169986148,0.5299599032287848,67.99907996865056
moderate,No_Execution,20,0.81,1.2327261444560913,0.39083865742402735,64.77305073998843
moderate,No_Execution,21,0.92,1.0677127975789342,0.47536041996849127,70.45015642995077
moderate,No_Execution,22,0.88,1.1565811839121813,0.4362191301354437,57.90585422515983
moderate,No_Execution,23,0.95,1.0050325818611459,0.43559391987680607,68.78101529297633
moderate,No_Execution,24,0.81,1.470163894261343,0.5069634392648705,69.20563797122323
moderate,No_Execution,25,0.86,1.1033172348336362,0.45004638859551105,61.22687086693564
moderate,No_Execution,26,0.87,1.2522309444281245,0.5359058270588696,71.96582589571793
moderate,No_Execution,27,0.89,1.0642676314597888,0.5300427030281996,68.03399761576104
moderate,No_Execution,28,0.89,1.0330351724923883,0.4106907004176872,62.801538078960974
moderate,No_Execution,29,0.83,1.054115172887669,0.4693766794909941,64.15477351379413
moderate,No_Execution,30,0.9,1.1235889342032641,0.44974914869999294,64.54652088695906
moderate,No_Capacity,1,0.74,1.8227092322955594,0.4506290939100459,73.79530009197559
moderate,No_Capacity,2,0.71,1.9226427420972465,0.4167408190529133,69.15098969595182
moderate,No_Capacity,3,0.71,1.6685427568748004,0.45886772182080265,68.67611569064987
moderate,No_Capacity,4,0.69,1.972692264031482,0.45677108199793587,69.92269663674375
moderate,No_Capacity,5,0.7,1.6918788104254785,0.47216924087198175,63.83617439100145
moderate,No_Capacity,6,0.73,1.7022298204082755,0.4236039245680175,69.94302039859491
moderate,No_Capacity,7,0.7,1.9512783907727027,0.40808440831907256,71.11406493851388
moderate,No_Capacity,8,0.67,2.114261283953584,0.4637972853362973,74.16168493805947
moderate,No_Capacity,9,0.76,1.7763382336727167,0.47761185042323234,70.43891881309408
moderate,No_Capacity,10,0.8,1.5904949894915643,0.4164087769388998,69.97068698199425
moderate,No_Capacity,11,0.72,1.71484840243252,0.4120998617638372,58.764894847847984
moderate,No_Capacity,12,0.84,1.5544742419816187,0.4119206112176743,67.9376877137253
moderate,No_Capacity,13,0.72,1.7714925437710591,0.39802392723273844,61.02485726648901
moderate,No_Capacity,14,0.67,1.8297214786286973,0.3554107552072428,61.62615986222856
moderate,No_Capacity,15,0.69,1.8761185521229167,0.3951620089119988,67.56664906692038
moderate,No_Capacity,16,0.74,1.6111942136854265,0.49774858510550185,74.8767093866628
moderate,No_Capacity,17,0.67,1.8562122271425168,0.46914388771427035,75.85937227624252
moderate,No_Capacity,18,0.72,1.7585857652159225,0.45323314510994794,64.76594325215049
moderate,No_Capacity,19,0.61,2.199148309232728,0.46343656387908716,71.45846526991954
moderate,No_Capacity,20,0.76,1.7154821459831242,0.38144093121511,64.58739792382663
moderate,No_Capacity,21,0.74,2.1149966482612106,0.43960085159707213,79.09363096589543
moderate,No_Capacity,22,0.72,1.6306622682679657,0.4009742366958905,67.38866869864427
moderate,No_Capacity,23,0.76,1.9050264023871926,0.3719480334814508,69.03813088559073
moderate,No_Capacity,24,0.68,1.986052301165065,0.49113463151662445,73.94804691922506
