workload,algorithm,run,deadline_success_rate,average_response_time,system_utilization,total_energy_consumed
heavy,FCFS,27,0.86,1.0465364166598317,0.7705797775868587,59.09385830888306
heavy,FCFS,28,1.0,0.6274986148882729,0.6087669525698363,47.39816728544264
heavy,FCFS,29,0.95,0.8350949966530213,0.704500772635594,53.724062191739876
heavy,FCFS,30,1.0,0.8183828003487811,0.720939289284993,53.33849130833795
heavy,SJF,1,0.52,3.2892397989997733,0.5741324163411541,65.41002948143995
heavy,SJF,2,0.39,3.966215199609867,0.602915216395288,72.35299283972228
heavy,SJF,3,0.55,2.883838985832944,0.6038314752008478,68.23199526417899
heavy,SJF,4,0.5,3.101701426475856,0.6471392747801022,71.11454403075828
heavy,SJF,5,0.45,3.086626055089216,0.6030353586555149,62.27006491536794
heavy,SJF,6,0.41,3.8354231213494483,0.5494560465059457,66.12051577078208
heavy,SJF,7,0.4,3.844644589493336,0.5606472028898971,70.30555073975178
heavy,SJF,8,0.6,2.824887206622744,0.6728056827610368,71.2622748478269
heavy,SJF,9,0.64,2.3836653503767473,0.6141199985937212,63.07200173619134
heavy,SJF,10,0.56,2.4200762270535163,0.5992993650721474,61.014900966437324
heavy,SJF,11,0.55,2.865717003237718,0.6045608959377821,62.67775095420012
heavy,SJF,12,0.54,2.9543204792807933,0.5315702019259869,61.20433262346937
heavy,SJF,13,0.52,2.969813636036053,0.5918193277666081,65.10742394547145
heavy,SJF,14,0.53,2.793210159293385,0.5752696474786428,63.09999827637017
heavy,SJF,15,0.44,3.6669363400619908,0.5498063019636252,66.2671138460825
heavy,SJF,16,0.38,3.8535855183412577,0.5217213751405321,62.21942849133373
heavy,SJF,17,0.56,2.9052561060482525,0.5870986651339177,66.67164381558186
heavy,SJF,18,0.5,2.9601477882604486,0.653026912522947,67.08797710145996
heavy,SJF,19,0.49,3.5409329176375297,0.569484657085101,67.40529732908975
heavy,SJF,20,0.46,3.473099592586904,0.529232966768432,62.57257951486652
heavy,SJF,21,0.47,3.6137671082677385,0.6237269998344963,78.29022502459019
heavy,SJF,22,0.52,2.74080871509201,0.5974959721072078,62.701160413078426
heavy,SJF,23,0.53,3.5973472019981347,0.5753302903785715,72.08360271411624
heavy,SJF,24,0.45,3.4989845763162144,0.6004692158311571,66.79235794760342
heavy,SJF,25,0.56,2.629630453467803,0.6106574202143369,63.27238057521221
heavy,SJF,26,0.51,3.2991593365264382,0.6341695847101305,69.71095569809408
heavy,SJF,27,0.49,3.2278290700113406,0.6163794672283746,70.00523102556141
heavy,SJF,28,0.45,3.4549985159199164,0.5337557208611922,62.75755630760523
heavy,SJF,29,0.5,3.4225526104858393,0.5926158668411907,68.74833429596136
heavy,SJF,30,0.49,3.1973324354468224,0.6068020108500207,67.88355810395521
heavy,EDF,1,0.99,1.381269363280277,0.7388748286982633,63.4955475504008
heavy,EDF,2,0.99,1.5374741456649108,0.7490303411528536,67.63651025077215
heavy,EDF,3,0.99,1.2862099296629705,0.7393044823971663,64.87239938226026
heavy,EDF,4,0.88,1.6918264325866925,0.7411916236893757,67.64872437325212
heavy,EDF,5,1.0,1.1793669571946672,0.7607902703121876,57.47528015063841
heavy,EDF,6,0.93,1.3892354659254438,0.7171287654073086,63.391542457638025
heavy,EDF,7,0.99,1.3250030899131549,0.718583484804899,68.1876990387097
heavy,EDF,8,1.0,1.521422096225021,0.7461223691399964,66.0063246047471
heavy,EDF,9,1.0,1.2040582632415888,0.7154143363683888,60.74332775652239
heavy,EDF,10,1.0,1.0534199348801763,0.6874910162098282,56.45036740897517
heavy,EDF,11,1.0,1.369597219183388,0.7449725154755491,60.99793427601614
heavy,EDF,12,1.0,1.0600898777169445,0.6278584081858681,57.761819943635984
heavy,EDF,13,1.0,1.2206625332047816,0.7165002589231376,61.636311771516986
heavy,EDF,14,0.97,1.419488299473131,0.6828218346172089,60.52844425883298
heavy,EDF,15,0.99,1.297962168104739,0.7039135866622019,63.6637740021534
heavy,EDF,16,1.0,1.1305240755403967,0.7079383858237387,62.377576487885094
heavy,EDF,17,1.0,1.1388191096247118,0.6814610770272738,62.487452371884245
heavy,EDF,18,0.93,1.5100402650851188,0.7364296409598085,62.03766902763287
heavy,EDF,19,1.0,1.7066068597874442,0.7757574975642537,68.90435265273507
heavy,EDF,20,1.0,1.083430013565073,0.6623500537919373,60.17449145340602
